filename, language, C#, JSON, ShaderLab, HLSL, XML, comment, blank, total
Assembly-CSharp-Editor.csproj, XML, 0, 0, 0, 0, 377, 7, 2, 386
Assembly-CSharp-firstpass.csproj, XML, 0, 0, 0, 0, 327, 7, 0, 334
Assembly-CSharp.csproj, XML, 0, 0, 0, 0, 529, 7, 2, 538
Assets\InControl\Editor\InControlBuilder.cs, C#, 27, 0, 0, 0, 0, 0, 7, 34
Assets\InControl\Editor\InControlManagerEditor.cs, C#, 50, 0, 0, 0, 0, 0, 13, 63
Assets\InControl\Editor\InputManagerAssetGenerator.cs, C#, 376, 0, 0, 0, 0, 0, 65, 441
Assets\InControl\Editor\ProfileListGenerator.cs, C#, 87, 0, 0, 0, 0, 0, 24, 111
Assets\InControl\Editor\ReorderableList\GenericListAdaptor.cs, C#, 77, 0, 0, 0, 0, 42, 22, 141
Assets\InControl\Editor\ReorderableList\IReorderableListAdaptor.cs, C#, 18, 0, 0, 0, 0, 70, 9, 97
Assets\InControl\Editor\ReorderableList\Internal\GUIHelper.cs, C#, 26, 0, 0, 0, 0, 15, 11, 52
Assets\InControl\Editor\ReorderableList\Internal\ReorderableListResources.cs, C#, 123, 0, 0, 0, 0, 65, 28, 216
Assets\InControl\Editor\ReorderableList\ReorderableListControl.cs, C#, 836, 0, 0, 0, 0, 618, 232, 1686
Assets\InControl\Editor\ReorderableList\ReorderableListFlags.cs, C#, 16, 0, 0, 0, 0, 41, 4, 61
Assets\InControl\Editor\ReorderableList\ReorderableListGUI.cs, C#, 351, 0, 0, 0, 0, 227, 94, 672
Assets\InControl\Editor\ReorderableList\SerializedPropertyAdaptor.cs, C#, 125, 0, 0, 0, 0, 52, 26, 203
Assets\InControl\Examples\Basic\CubeController.cs, C#, 15, 0, 0, 0, 0, 2, 6, 23
Assets\InControl\Examples\CustomProfile\CubeController.cs, C#, 53, 0, 0, 0, 0, 7, 21, 81
Assets\InControl\Examples\CustomProfile\KeyboardAndMouseProfile.cs, C#, 112, 0, 0, 0, 0, 9, 8, 129
Assets\InControl\Examples\Gyro\CubeController.cs, C#, 32, 0, 0, 0, 0, 11, 10, 53
Assets\InControl\Examples\Gyro\GyroProfile.cs, C#, 42, 0, 0, 0, 0, 5, 7, 54
Assets\InControl\Examples\InterfaceMovement\Button.cs, C#, 25, 0, 0, 0, 0, 2, 9, 36
Assets\InControl\Examples\InterfaceMovement\ButtonFocus.cs, C#, 12, 0, 0, 0, 0, 2, 4, 18
Assets\InControl\Examples\InterfaceMovement\ButtonManager.cs, C#, 32, 0, 0, 0, 0, 2, 12, 46
Assets\InControl\Examples\Multiplayer\CubeController.cs, C#, 57, 0, 0, 0, 0, 3, 11, 71
Assets\InControl\Source\Compatibility\HeaderAttribute.cs, C#, 38, 0, 0, 0, 0, 0, 12, 50
Assets\InControl\Source\Compatibility\RangeAttribute.cs, C#, 38, 0, 0, 0, 0, 0, 8, 46
Assets\InControl\Source\Compatibility\SpaceAttribute.cs, C#, 35, 0, 0, 0, 0, 0, 10, 45
Assets\InControl\Source\Components\InControlManager.cs, C#, 104, 0, 0, 0, 0, 0, 28, 132
Assets\InControl\Source\Control\InputControl.cs, C#, 154, 0, 0, 0, 0, 1, 60, 215
Assets\InControl\Source\Control\InputControlMapping.cs, C#, 62, 0, 0, 0, 0, 7, 23, 92
Assets\InControl\Source\Control\InputControlSource.cs, C#, 9, 0, 0, 0, 0, 0, 4, 13
Assets\InControl\Source\Control\InputControlState.cs, C#, 47, 0, 0, 0, 0, 0, 19, 66
Assets\InControl\Source\Control\InputControlType.cs, C#, 83, 0, 0, 0, 0, 9, 17, 109
Assets\InControl\Source\Control\OneAxisInputControl.cs, C#, 64, 0, 0, 0, 0, 0, 30, 94
Assets\InControl\Source\Control\TwoAxisInputControl.cs, C#, 72, 0, 0, 0, 0, 0, 29, 101
Assets\InControl\Source\Debug\Logger.cs, C#, 45, 0, 0, 0, 0, 0, 14, 59
Assets\InControl\Source\Device\InputDevice.cs, C#, 241, 0, 0, 0, 0, 8, 80, 329
Assets\InControl\Source\Device\InputDeviceManager.cs, C#, 15, 0, 0, 0, 0, 0, 6, 21
Assets\InControl\Source\InputManager.cs, C#, 330, 0, 0, 0, 0, 10, 98, 438
Assets\InControl\Source\Unity\ControlSources\UnityAnalogSource.cs, C#, 43, 0, 0, 0, 0, 0, 15, 58
Assets\InControl\Source\Unity\ControlSources\UnityButtonSource.cs, C#, 43, 0, 0, 0, 0, 0, 15, 58
Assets\InControl\Source\Unity\ControlSources\UnityGyroAxisSource.cs, C#, 47, 0, 0, 0, 0, 5, 20, 72
Assets\InControl\Source\Unity\ControlSources\UnityKeyCodeAxisSource.cs, C#, 32, 0, 0, 0, 0, 0, 13, 45
Assets\InControl\Source\Unity\ControlSources\UnityKeyCodeComboSource.cs, C#, 28, 0, 0, 0, 0, 0, 10, 38
Assets\InControl\Source\Unity\ControlSources\UnityKeyCodeSource.cs, C#, 28, 0, 0, 0, 0, 0, 10, 38
Assets\InControl\Source\Unity\ControlSources\UnityMouseAxisSource.cs, C#, 21, 0, 0, 0, 0, 0, 10, 31
Assets\InControl\Source\Unity\ControlSources\UnityMouseButtonSource.cs, C#, 21, 0, 0, 0, 0, 0, 10, 31
Assets\InControl\Source\Unity\DeviceProfiles\AmazonFireTVProfile.cs, C#, 131, 0, 0, 0, 0, 1, 8, 140
Assets\InControl\Source\Unity\DeviceProfiles\AmazonFireTVRemoteProfile.cs, C#, 65, 0, 0, 0, 0, 1, 8, 74
Assets\InControl\Source\Unity\DeviceProfiles\AndroidTVProfile.cs, C#, 125, 0, 0, 0, 0, 4, 7, 136
Assets\InControl\Source\Unity\DeviceProfiles\AndroidTVRemoteProfile.cs, C#, 59, 0, 0, 0, 0, 4, 7, 70
Assets\InControl\Source\Unity\DeviceProfiles\AppleMFiProfile.cs, C#, 110, 0, 0, 0, 0, 1, 9, 120
Assets\InControl\Source\Unity\DeviceProfiles\ExecutionerXProfile.cs, C#, 137, 0, 0, 0, 0, 1, 8, 146
Assets\InControl\Source\Unity\DeviceProfiles\GameStickLinuxProfile.cs, C#, 121, 0, 0, 0, 0, 1, 9, 131
Assets\InControl\Source\Unity\DeviceProfiles\GameStickProfile.cs, C#, 123, 0, 0, 0, 0, 1, 8, 132
